4998.3745741786315, 1132.9348022516824
5045.313304880499, 1141.632451768395
5097.936972526182, 1151.7721093548132
5153.411553291639, 1161.9219005186715
5193.2398904898055, 1169.1724751769589
5237.336152719767, 1177.149120658819
5282.849426861748, 1185.8417033868116
5328.371145651597, 1193.8234156573915
5376.726888265486, 1203.237002420237
5420.823150495447, 1211.2136479020971
5463.493956165522, 1219.185226595237
5510.43268686739, 1227.8828761119498
5557.3714175692585, 1236.5805256286626
5600.042223239333, 1244.5521043218027
