4185.170807453416, 1056.454501598022
4215.4503105590065, 1068.1285050955798
4252.717391304348, 1082.1380329252852
4300.465838509317, 1100.8158957969003
4330.745341614907, 1112.4898992944582
4365.683229813665, 1125.3325694988844
4395.962732919255, 1138.1716215401316
4421.583850931677, 1148.676958330821
4458.850931677019, 1163.8515347042153
4493.788819875776, 1179.02430199602
4517.0807453416155, 1187.1977326177412
4543.866459627329, 1198.8690224929144
4582.2981366459635, 1216.3746004944824
4617.236024844721, 1231.5473677862872
4649.844720496894, 1245.5532774528133
4689.44099378882, 1263.0597599951757
4726.708074534162, 1279.3993849122596
4763.975155279503, 1295.7390098293433
4802.406832298137, 1312.079539287222
4847.826086956522, 1333.0856901646266
4892.0807453416155, 1352.925887957547
4932.841614906833, 1371.5983235843937
4960.791925465839, 1384.4355665440512
4988.742236024846, 1399.6029065910873
5006.2111801242245, 1410.101911596213
5200.698757763976, 1505.7869504914675
5225.155279503107, 1518.6214798287406
5263.58695652174, 1537.2921063739977
5298.524844720496, 1553.629922209492
5345.108695652174, 1576.9670747150699
5395.186335403728, 1601.4719893867214
5432.453416149069, 1620.141711391184
5463.897515527951, 1637.641862147983
5502.329192546585, 1657.4775372369295
5540.760869565219, 1678.4782608695652
5576.8633540372675, 1698.3121268769223
5607.142857142859, 1713.481276005548
